Player,serveRating,1stServePct,1stServePointsWonPct,2ndServePointsWonPct,serviceGamesWonPct,avgAcesPerMatch,avgDblFaultsPerMatch
John Isner,311.6,69.10%,78.60%,56.20%,91.80%,18.1,2.2
Ivo Karlovic,310,65.50%,82.80%,53.30%,92.10%,19.8,3.5
Reilly Opelka,303,62.00%,79.70%,55.20%,90.40%,19.3,3.6
Milos Raonic,302.5,62.90%,81.40%,55.00%,91.00%,15.4,3.2
Andy Roddick,299.9,64.80%,79.30%,56.00%,90.10%,11.7,2
Nick Kyrgios,293.8,65.00%,77.10%,53.00%,87.70%,14.6,3.6
Joachim Johansson,293.4,62.10%,79.20%,52.80%,89.30%,14.3,4.3
Roger Federer,291.1,62.10%,77.40%,56.90%,88.80%,7.8,1.9
Kevin Anderson,290.9,64.50%,76.90%,53.20%,86.70%,12.6,3
Wayne Arthurs,290.4,55.70%,81.20%,54.70%,88.20%,15.8,5.2
Pete Sampras,289,59.50%,80.90%,52.60%,88.70%,11,3.7
Chris Guccione,287.7,60.00%,78.50%,51.50%,86.40%,14.6,3.3
Jo-Wilfried Tsonga,287.4,62.10%,77.70%,52.90%,87.10%,10,2.4
Richard Krajicek,286.9,58.20%,81.40%,51.10%,87.20%,12.6,3.6
Wesley Moodie,285.2,68.90%,73.50%,51.30%,83.80%,10.8,3.1
Rafael Nadal,285,68.40%,72.00%,57.40%,85.80%,3,1.6
Sam Groth,284.4,60.50%,78.30%,50.70%,84.50%,15.4,5
Gilles Muller,284.3,61.40%,78.00%,50.20%,84.90%,13.4,3.6
Matteo Berrettini,283.3,61.50%,76.90%,53.20%,85.50%,8.4,2.2
Greg Rusedski,283.2,58.00%,79.80%,52.30%,86.50%,11.2,4.6
Novak Djokovic,282.8,64.90%,73.50%,55.60%,85.70%,5.4,2.3
Ivan Ljubicic,282.5,58.40%,77.50%,51.80%,85.30%,12,2.5
Sam Querrey,282.5,59.10%,78.80%,50.40%,84.90%,12.6,3.3
Goran Ivanisevic,282.3,54.90%,82.50%,50.10%,85.70%,13.9,4.8
Juan Martin del Potro,281.6,63.80%,74.50%,53.20%,84.90%,7.5,2.3
Mark Philippoussis,281.5,57.80%,79.90%,49.90%,85.20%,13.9,5.2
Stefanos Tsitsipas,279.3,60.90%,75.90%,53.10%,84.70%,7,2.3
Mario Ancic,279.1,61.30%,75.50%,51.90%,83.80%,9.3,2.7
Max Mirnyi,278.9,62.50%,75.80%,51.10%,83.80%,9.4,3.7
Boris Becker,278.4,57.40%,79.40%,50.20%,85.80%,10.4,4.8
Guy Forget,278.3,58.10%,77.80%,51.70%,84.00%,9,2.3
Todd Martin,278.1,61.60%,75.60%,51.10%,83.60%,9.5,3.3
Robin Soderling,277.8,61.10%,75.70%,51.70%,83.90%,8.4,3
Feliciano Lopez,277.6,58.70%,76.10%,51.70%,84.00%,10.5,3.4
Daniel Brands,277.4,65.90%,72.70%,51.20%,81.80%,8.8,3
Patrick Rafter,277.4,61.90%,75.60%,51.70%,84.70%,7.1,3.6
Tomas Berdych,276.9,58.00%,76.90%,52.40%,84.40%,7.7,2.5
Michael Stich,276.6,56.60%,77.90%,52.50%,85.30%,8.3,4
Jim Courier,276.3,62.10%,74.20%,53.30%,84.10%,5.2,2.6
Steve Johnson,276.3,59.30%,75.00%,52.50%,84.20%,8.3,3
